date,lake_level,lake_extent_km2,water_depth,volume_km3
1948-02-17,1134.499,66841.61448016053,1134.499,75831.74478612765
1948-02-18,1134.499,66841.61448016053,1134.499,75831.74478612765
1948-02-19,1134.449,66841.61448016053,1134.449,75828.40270540363
1948-02-20,1134.449,66841.61448016053,1134.449,75828.40270540363
1948-02-21,1134.484,66841.61448016053,1134.484,75830.74216191043
1948-02-22,1134.529,66841.86246694704,1134.529,75834.03138276297
1948-02-23,1134.529,66841.86246694704,1134.529,75834.03138276297
1948-02-24,1134.529,66841.86246694704,1134.529,75834.03138276297
1948-02-25,1134.479,66841.61448016053,1134.479,75830.40795383803
1948-02-26,1134.459,66841.61448016053,1134.459,75829.07112154843
1948-02-27,1134.504,66841.86246694704,1134.504,75832.36033620128
1948-02-28,1134.549,66842.11045373358,1134.549,75835.64957317297
1948-02-29,1134.549,66842.11045373358,1134.549,75835.64957317297
1948-03-01,1134.489,66841.61448016053,1134.489,75831.07636998284
1948-03-02,1134.489,66841.61448016053,1134.489,75831.07636998284
1948-03-03,1134.419,66841.61448016053,1134.419,75826.39745696924
1948-03-04,1134.419,66841.61448016053,1134.419,75826.39745696924
1948-03-05,1134.469,66841.61448016053,1134.469,75829.73953769323
1948-03-06,1134.469,66841.61448016053,1134.469,75829.73953769323
1948-03-07,1134.534,66841.86246694704,1134.534,75834.36559207531
1948-03-08,1134.529,66841.86246694704,1134.529,75834.03138276297
1948-03-09,1134.539,66842.11045373358,1134.539,75834.98115206843
1948-03-10,1134.529,66841.86246694704,1134.529,75834.03138276297
1948-03-11,1134.489,66841.61448016053,1134.489,75831.07636998284
1948-03-12,1134.494,66841.61448016053,1134.494,75831.41057805523
1948-03-13,1134.509,66841.86246694704,1134.509,75832.69454551363
1948-03-14,1134.519,66841.86246694704,1134.519,75833.3629641383
1948-03-15,1134.519,66841.86246694704,1134.519,75833.3629641383
1948-03-16,1134.539,66842.11045373358,1134.539,75834.98115206843
1948-03-17,1134.539,66842.11045373358,1134.539,75834.98115206843
1948-03-18,1134.549,66842.11045373358,1134.549,75835.64957317297
1948-03-19,1134.519,66841.86246694704,1134.519,75833.3629641383
1948-03-20,1134.519,66841.86246694704,1134.519,75833.3629641383
1948-03-21,1134.519,66841.86246694704,1134.519,75833.3629641383
1948-03-22,1134.529,66841.86246694704,1134.529,75834.03138276297
1948-03-23,1134.539,66842.11045373358,1134.539,75834.98115206843
1948-03-24,1134.539,66842.11045373358,1134.539,75834.98115206843
1948-03-25,1134.539,66842.11045373358,1134.539,75834.98115206843
1948-03-26,1134.539,66842.11045373358,1134.539,75834.98115206843
1948-03-27,1134.539,66842.11045373358,1134.539,75834.98115206843
1948-03-28,1134.544,66842.11045373358,1134.544,75835.3153626207
1948-03-29,1134.539,66842.11045373358,1134.539,75834.98115206843
1948-03-30,1134.534,66841.86246694704,1134.534,75834.36559207531
1948-03-31,1134.529,66841.86246694704,1134.529,75834.03138276297
1948-04-01,1134.519,66841.86246694704,1134.519,75833.3629641383
1948-04-02,1134.519,66841.86246694704,1134.519,75833.3629641383
1948-04-03,1134.519,66841.86246694704,1134.519,75833.3629641383
1948-04-04,1134.479,66841.61448016053,1134.479,75830.40795383803
1948-04-05,1134.469,66841.61448016053,1134.469,75829.73953769323
1948-04-06,1134.539,66842.11045373358,1134.539,75834.98115206843
1948-04-07,1134.519,66841.86246694704,1134.519,75833.3629641383
1948-04-08,1134.519,66841.86246694704,1134.519,75833.3629641383
1948-04-09,1134.489,66841.61448016053,1134.489,75831.07636998284
1948-04-10,1134.489,66841.61448016053,1134.489,75831.07636998284
1948-04-11,1134.499,66841.61448016053,1134.499,75831.74478612765
1948-04-12,1134.499,66841.61448016053,1134.499,75831.74478612765
1948-04-13,1134.489,66841.61448016053,1134.489,75831.07636998284
1948-04-14,1134.494,66841.61448016053,1134.494,75831.41057805523
1948-04-15,1134.494,66841.61448016053,1134.494,75831.41057805523
1948-04-16,1134.494,66841.61448016053,1134.494,75831.41057805523
1948-04-17,1134.494,66841.61448016053,1134.494,75831.41057805523
1948-04-18,1134.559,66842.11045373358,1134.559,75836.3179942775
1948-04-19,1134.519,66841.86246694704,1134.519,75833.3629641383
1948-04-20,1134.519,66841.86246694704,1134.519,75833.3629641383
1948-04-21,1134.519,66841.86246694704,1134.519,75833.3629641383
1948-04-22,1134.519,66841.86246694704,1134.519,75833.3629641383
1948-04-23,1134.524,66841.86246694704,1134.524,75833.69717345062
1948-04-24,1134.529,66841.86246694704,1134.529,75834.03138276297
1948-04-25,1134.524,66841.86246694704,1134.524,75833.69717345062
1948-04-26,1134.529,66841.86246694704,1134.529,75834.03138276297
1948-04-27,1134.589,66842.3584405201,1134.589,75838.60462067126
1948-04-28,1134.579,66842.3584405201,1134.579,75837.93619708683
1948-04-29,1134.649,66843.10240087968,1134.649,75843.45929605572
1948-04-30,1134.559,66842.11045373358,1134.559,75836.3179942775
1948-05-01,1134.559,66842.11045373358,1134.559,75836.3179942775
1948-05-02,1134.559,66842.11045373358,1134.559,75836.3179942775
1948-05-03,1134.619,66842.3584405201,1134.619,75840.60989142446
1948-05-04,1134.599,66842.3584405201,1134.599,75839.27304425566
1948-05-05,1134.599,66842.3584405201,1134.599,75839.27304425566
1948-05-06,1134.599,66842.3584405201,1134.599,75839.27304425566
1948-05-07,1134.619,66842.3584405201,1134.619,75840.60989142446
1948-05-08,1134.659,66843.59837445273,1134.659,75844.69048795817
1948-05-09,1134.679,66844.59032159885,1134.679,75847.15290152148
1948-05-10,1134.649,66843.10240087968,1134.649,75843.45929605572
1948-05-11,1134.609,66842.3584405201,1134.609,75839.94146784006
1948-05-12,1134.609,66842.3584405201,1134.609,75839.94146784006
1948-05-13,1134.639,66842.85441409315,1134.639,75842.50948955223
1948-05-14,1134.639,66842.85441409315,1134.639,75842.50948955223
1948-05-15,1134.639,66842.85441409315,1134.639,75842.50948955223
1948-05-16,1134.639,66842.85441409315,1134.639,75842.50948955223
1948-05-17,1134.619,66842.3584405201,1134.619,75840.60989142446
1948-05-18,1134.659,66843.59837445273,1134.659,75844.69048795817
