date,lake_level,lake_extent_km2
1948-06-21,1134.699,66845.0862951719
1948-06-22,1134.699,66845.0862951719
1948-06-23,1134.699,66845.0862951719
1948-06-24,1134.704,66845.0862951719
1948-06-25,1134.609,66842.3584405201
1948-06-26,1134.609,66842.3584405201
1948-06-27,1134.609,66842.3584405201
1948-06-28,1134.599,66842.3584405201
1948-06-29,1134.619,66842.3584405201
1948-06-30,1134.639,66842.85441409315
1948-07-01,1134.629,66842.60642730663
1948-07-02,1134.599,66842.3584405201
1948-07-03,1134.639,66842.85441409315
1948-07-04,1134.609,66842.3584405201
1948-07-05,1134.619,66842.3584405201
1948-07-06,1134.619,66842.3584405201
1948-07-07,1134.619,66842.3584405201
1948-07-08,1134.619,66842.3584405201
1948-07-09,1134.559,66842.11045373358
1948-07-10,1134.559,66842.11045373358
1948-07-11,1134.559,66842.11045373358
1948-07-12,1134.559,66842.11045373358
1948-07-13,1134.559,66842.11045373358
1948-07-14,1134.559,66842.11045373358
1948-07-15,1134.589,66842.3584405201
1948-07-16,1134.589,66842.3584405201
1948-07-17,1134.589,66842.3584405201
1948-07-18,1134.589,66842.3584405201
1948-07-19,1134.589,66842.3584405201
1948-07-20,1134.579,66842.3584405201
1948-07-21,1134.584,66842.3584405201
1948-07-22,1134.589,66842.3584405201
1948-07-23,1134.589,66842.3584405201
1948-07-24,1134.594,66842.3584405201
1948-07-25,1134.579,66842.3584405201
1948-07-26,1134.579,66842.3584405201
1948-07-27,1134.579,66842.3584405201
1948-07-28,1134.579,66842.3584405201
1948-07-29,1134.579,66842.3584405201
1948-07-30,1134.549,66842.11045373358
1948-07-31,1134.549,66842.11045373358
1948-08-01,1134.589,66842.3584405201
1948-08-02,1134.579,66842.3584405201
1948-08-03,1134.589,66842.3584405201
1948-08-04,1134.589,66842.3584405201
1948-08-05,1134.579,66842.3584405201
1948-08-06,1134.579,66842.3584405201
1948-08-07,1134.579,66842.3584405201
1948-08-08,1134.579,66842.3584405201
1948-08-09,1134.579,66842.3584405201
1948-08-10,1134.579,66842.3584405201
1948-08-11,1134.579,66842.3584405201
1948-08-12,1134.579,66842.3584405201
1948-08-13,1134.579,66842.3584405201
1948-08-14,1134.579,66842.3584405201
1948-08-15,1134.579,66842.3584405201
1948-08-16,1134.579,66842.3584405201
1948-08-17,1134.579,66842.3584405201
1948-08-18,1134.579,66842.3584405201
1948-08-19,1134.579,66842.3584405201
1948-08-20,1134.579,66842.3584405201
1948-08-21,1134.579,66842.3584405201
1948-08-22,1134.549,66842.11045373358
1948-08-23,1134.549,66842.11045373358
1948-08-24,1134.549,66842.11045373358
1948-08-25,1134.549,66842.11045373358
1948-08-26,1134.549,66842.11045373358
1948-08-27,1134.549,66842.11045373358
1948-08-28,1134.579,66842.3584405201
1948-08-29,1134.579,66842.3584405201
1948-08-30,1134.579,66842.3584405201
1948-08-31,1134.529,66841.86246694704
1948-09-01,1134.519,66841.86246694704
1948-09-02,1134.509,66841.86246694704
1948-09-03,1134.499,66841.61448016053
1948-09-04,1134.619,66842.3584405201
1948-09-05,1134.619,66842.3584405201
1948-09-06,1134.619,66842.3584405201
1948-09-07,1134.509,66841.86246694704
1948-09-08,1134.509,66841.86246694704
1948-09-09,1134.509,66841.86246694704
1948-09-10,1134.509,66841.86246694704
1948-09-11,1134.499,66841.61448016053
1948-09-12,1134.509,66841.86246694704
1948-09-13,1134.529,66841.86246694704
1948-09-14,1134.519,66841.86246694704
1948-09-15,1134.519,66841.86246694704
1948-09-16,1134.519,66841.86246694704
1948-09-17,1134.519,66841.86246694704
1948-09-18,1134.519,66841.86246694704
1948-09-19,1134.519,66841.86246694704
1948-09-20,1134.519,66841.86246694704
1948-09-21,1134.539,66842.11045373358
1948-09-22,1134.539,66842.11045373358
1948-09-23,1134.539,66842.11045373358
1948-09-24,1134.539,66842.11045373358
1948-09-25,1134.539,66842.11045373358
1948-09-26,1134.539,66842.11045373358
1948-09-27,1134.539,66842.11045373358
1948-09-28,1134.519,66841.86246694704
1948-09-29,1134.519,66841.86246694704
1948-09-30,1134.519,66841.86246694704
1948-10-01,1134.559,66842.11045373358
1948-10-02,1134.479,66841.61448016053
1948-10-03,1134.484,66841.61448016053
1948-10-04,1134.479,66841.61448016053
1948-10-05,1134.479,66841.61448016053
1948-10-06,1134.459,66841.61448016053
1948-10-07,1134.459,66841.61448016053
1948-10-08,1134.454,66841.61448016053
1948-10-09,1134.454,66841.61448016053
1948-10-10,1134.459,66841.61448016053
1948-10-11,1134.459,66841.61448016053
1948-10-12,1134.459,66841.61448016053
1948-10-13,1134.459,66841.61448016053
1948-10-14,1134.464,66841.61448016053
1948-10-15,1134.459,66841.61448016053
1948-10-16,1134.454,66841.61448016053
1948-10-17,1134.459,66841.61448016053
1948-10-18,1134.469,66841.61448016053
1948-10-19,1134.459,66841.61448016053
1948-10-20,1134.459,66841.61448016053
1948-10-21,1134.459,66841.61448016053
1948-10-22,1134.459,66841.61448016053
1948-10-23,1134.309,66841.366493374
1948-10-24,1134.409,66841.61448016053
1948-10-25,1134.419,66841.61448016053
1948-10-26,1134.419,66841.61448016053
1948-10-27,1134.449,66841.61448016053
1948-10-28,1134.439,66841.61448016053
1948-10-29,1134.439,66841.61448016053
1948-10-30,1134.449,66841.61448016053
1948-10-31,1134.459,66841.61448016053
1948-11-01,1134.459,66841.61448016053
1948-11-02,1134.449,66841.61448016053
1948-11-03,1134.479,66841.61448016053
1948-11-04,1134.469,66841.61448016053
1948-11-05,1134.499,66841.61448016053
1948-11-06,1134.459,66841.61448016053
1948-11-07,1134.459,66841.61448016053
1948-11-08,1134.459,66841.61448016053
1948-11-09,1134.459,66841.61448016053
1948-11-10,1134.479,66841.61448016053
1948-11-11,1134.479,66841.61448016053
1948-11-12,1134.479,66841.61448016053
1948-11-13,1134.469,66841.61448016053
1948-11-14,1134.469,66841.61448016053
1948-11-15,1134.479,66841.61448016053
1948-11-16,1134.459,66841.61448016053
1948-11-17,1134.449,66841.61448016053
1948-11-18,1134.469,66841.61448016053
1948-11-19,1134.459,66841.61448016053
1948-11-20,1134.469,66841.61448016053
1948-11-21,1134.469,66841.61448016053
1948-11-22,1134.459,66841.61448016053
1948-11-23,1134.459,66841.61448016053
1948-11-24,1134.449,66841.61448016053
1948-11-25,1134.449,66841.61448016053
1948-11-26,1134.449,66841.61448016053
1948-11-27,1134.479,66841.61448016053
1948-11-28,1134.474,66841.61448016053
