depth_m,area_m2
3.2,55301053.4
3.21,55549040.18
3.22,56788974.11
3.23,57036960.9
3.24,57532934.47
3.25,58028908.05
3.26,58524881.62
3.27,58772868.41
3.28,59020855.19
3.29,59516828.77
3.3,59516828.77
3.31,59764815.55
3.32,60260789.13
3.33,60508775.91
3.34,61004749.49
3.35,61500723.06
3.36,62740656.99
3.37,62988643.78
3.38,63236630.56
3.39,63236630.56
3.4,63484617.35
3.41,63732604.14
3.42,64476564.5
3.43,64972538.07
3.44,65468511.64
3.45,65468511.64
3.46,65468511.64
3.47,65716498.43
3.48,66212472
3.49,66212472
3.5,66460458.79
3.51,66708445.58
3.52,67204419.15
3.53,67700392.72
3.54,67700392.72
3.55,68196366.29
3.56,68196366.29
3.57,68692339.87
3.58,69436300.23
3.59,70180260.59
3.6,70924220.95
3.61,71916168.09
3.62,71916168.09
3.63,72164154.88
3.64,72164154.88
3.65,72164154.88
3.66,72164154.88
3.67,73404088.81
3.68,73404088.81
3.69,74148049.17
3.7,74396035.96
3.71,74644022.74
3.72,74644022.74
3.73,75139996.32
3.74,75387983.1
3.75,75635969.89
3.76,76131943.46
3.77,76379930.25
3.78,76875903.82
3.79,77123890.61
3.8,77619864.18
3.81,77867850.97
3.82,77867850.97
3.83,78363824.54
3.84,78363824.54
3.85,79107784.9
3.86,80099732.05
3.87,80347718.83
3.88,80347718.83
3.89,81835639.55
3.9,83571547.06
3.91,83571547.06
3.92,83819533.85
3.93,84067520.63
3.94,84563494.21
3.95,85059467.78
3.96,85555441.35
3.97,86051414.92
3.98,86547388.5
3.99,87787322.43
4,87787322.43
4.01,88531282.79
4.02,89027256.36
4.03,89523229.94
4.04,89771216.72
4.05,89771216.72
4.06,90019203.51
4.07,90515177.08
4.08,90515177.08
4.09,91011150.66
4.1,91507124.23
4.11,91507124.23
4.12,92003097.8
4.13,92251084.59
4.14,92499071.37
4.15,93243031.73
4.16,93243031.73
4.17,93491018.52
4.18,93739005.31
4.19,94234978.88
4.2,94482965.67
4.21,94730952.45
4.22,94978939.24
4.23,95474912.81
4.24,95722899.6
4.25,96218873.17
4.26,96466859.96
4.27,96714846.75
4.28,96962833.53
4.29,97706793.89
4.3,98202767.46
4.31,98698741.04
4.32,99442701.4
4.33,99690688.18
4.34,101178608.9
4.35,101922569.3
4.36,102170556
4.37,103410490
4.38,103906463.6
4.39,104154450.3
4.4,104650423.9
4.41,105146397.5
4.42,105642371.1
4.43,107130291.8
4.44,108618212.5
4.45,109362172.9
4.46,109610159.6
4.47,109858146.4
4.48,110354120
4.49,110354120
4.5,110602106.8
4.51,110850093.6
4.52,111098080.4
4.53,112090027.5
4.54,112090027.5
4.55,112338014.3
4.56,112833987.9
4.57,113081974.7
4.58,113081974.7
4.59,113081974.7
4.6,113081974.7
4.61,113825935
4.62,115065868.9
4.63,115313855.7
4.64,115809829.3
4.65,116305802.9
4.66,116553789.7
4.67,117793723.6
4.68,118041710.4
4.69,118785670.7
4.7,118785670.7
4.71,119529631.1
4.72,120025604.7
4.73,120273591.5
4.74,120521578.3
4.75,121017551.8
4.76,122505472.5
4.77,123249432.9
4.78,123745406.5
4.79,124241380.1
4.8,124489366.8
4.81,124737353.6
4.82,124985340.4
4.83,124985340.4
4.84,125481314
4.85,125481314
4.86,125729300.8
4.87,126969234.7
4.88,128209168.6
4.89,128209168.6
4.9,128705142.2
4.91,129201115.8
4.92,129697089.4
4.93,130689036.5
4.94,131432996.9
4.95,131928970.4
4.96,132672930.8
4.97,133664877.9
4.98,134904811.9
4.99,136392732.6
5,137136692.9
5.01,137136692.9
5.02,137384679.7
5.03,137384679.7
5.04,138376626.9
5.05,138872600.5
5.06,139368574
5.07,139864547.6
5.08,140360521.2
5.09,140856494.7
5.1,141848441.9
5.11,142344415.5
5.12,142592402.3
5.13,143088375.8
5.14,144328309.8
5.15,144576296.5
5.16,144824283.3
5.17,144824283.3
5.18,145568243.7
5.19,145816230.5
5.2,146560190.8
5.21,147304151.2
5.22,147304151.2
5.23,147552138
5.24,148792071.9
5.25,148792071.9
5.26,149040058.7
5.27,149288045.5
5.28,149536032.3
5.29,150032005.8
5.3,151271939.8
5.31,151767913.4
5.32,152511873.7
5.33,153007847.3
5.34,153255834.1
5.35,153751807.6
5.36,154495768
5.37,154743754.8
5.38,155983688.7
5.39,156479662.3
5.4,157223622.7
5.41,158463556.6
5.42,158711543.4
5.43,159455503.7
5.44,159703490.5
5.45,160695437.7
5.46,161191411.2
5.47,161687384.8
5.48,162431345.2
5.49,162927318.7
5.5,163671279.1
5.51,164663226.3
5.52,166151147
5.53,168383028.1
5.54,169374975.2
5.55,170118935.6
5.56,170366922.3
5.57,170614909.1
5.58,171110882.7
5.59,171606856.3
5.6,171854843.1
5.61,172102829.8
5.62,172350816.6
5.63,173094777
5.64,173838737.4
5.65,174582697.7
5.66,174582697.7
5.67,174830684.5
5.68,175078671.3
5.69,175574644.9
5.7,176318605.2
5.71,177062565.6
5.72,177310552.4
5.73,177806525.9
5.74,178550486.3
5.75,179294446.7
5.76,179542433.4
5.77,180534380.6
5.78,180534380.6
5.79,181030354.2
5.8,181526327.7
5.81,182022301.3
5.82,183510222
5.83,184254182.4
5.84,184254182.4
5.85,186238076.7
5.86,187230023.8
5.87,187230023.8
5.88,188221971
5.89,188717944.5
5.9,189461904.9
5.91,189957878.5
5.92,190949825.6
5.93,191693786
5.94,191941772.8
5.95,193181706.7
5.96,193925667.1
5.97,194421640.6
5.98,194917614.2
5.99,195909561.4
6,196405534.9
6.01,197149495.3
6.02,197645468.9
6.03,197893455.6
6.04,198637416
6.05,199133389.6
6.06,200869297.1
6.07,201365270.7
6.08,202853191.4
6.09,203101178.2
6.1,203845138.5
6.11,204589098.9
6.12,204589098.9
6.13,205333059.2
6.14,205829032.8
6.15,207068966.8
6.16,207316953.5
6.17,208556887.5
6.18,208804874.3
6.19,209548834.6
6.2,210292795
6.21,211284742.1
6.22,211780715.7
6.23,212276689.3
6.24,213268636.4
6.25,213516623.2
6.26,214012596.8
6.27,214756557.1
6.28,215748504.3
6.29,216492464.6
6.3,218476358.9
6.31,218724345.7
6.32,219468306.1
6.33,219716292.9
6.34,219964279.6
6.35,220212266.4
6.36,221452200.4
6.37,221948173.9
6.38,222692134.3
6.39,223436094.7
6.4,224676028.6
6.41,224676028.6
6.42,225172002.2
6.43,225419989
6.44,225915962.5
6.45,226411936.1
6.46,226907909.7
6.47,227651870
6.48,228643817.2
6.49,229883751.1
6.5,230131737.9
6.51,231123685
6.52,231619658.6
6.53,232363619
6.54,233107579.3
6.55,233355566.1
6.56,234595500.1
6.57,235835434
6.58,237075367.9
6.59,238315301.9
6.6,239555235.8
6.61,240547182.9
6.62,242283090.4
6.63,243771011.2
6.64,244018997.9
6.65,244514971.5
6.66,245010945.1
6.67,246002892.2
6.68,247242826.2
6.69,248234773.3
6.7,248482760.1
6.71,249226720.5
6.72,249722694
6.73,250466654.4
6.74,250962628
6.75,251210614.8
6.76,252450548.7
6.77,253690482.6
6.78,253938469.4
6.79,253938469.4
6.8,254186456.2
6.81,254930416.5
6.82,254930416.5
6.83,255674376.9
6.84,256914310.8
6.85,257162297.6
6.86,257658271.2
6.87,258898205.1
6.88,259394178.7
6.89,260634112.6
6.9,261874046.6
6.91,262618006.9
6.92,263857940.9
6.93,264105927.7
6.94,264849888
6.95,265593848.4
6.96,266833782.3
6.97,268073716.2
6.98,268569689.8
6.99,269561637
7,270305597.3
7.01,271049557.7
7.02,272041504.8
7.03,272785465.2
7.04,274025399.1
7.05,275017346.3
7.06,276009293.4
7.07,277993187.7
7.08,278241174.5
7.09,278489161.3
7.1,279481108.4
7.11,279729095.2
7.12,280473055.6
7.13,281465002.7
7.14,282208963.1
7.15,283200910.2
7.16,284936817.7
7.17,286424738.4
7.18,286672725.2
7.19,287416685.6
7.2,287912659.2
7.21,289400579.9
7.22,289400579.9
7.23,290144540.2
7.24,291632461
7.25,292376421.3
7.26,292872394.9
7.27,293120381.7
7.28,294112328.8
7.29,294856289.2
7.3,295848236.3
7.31,296840183.5
7.32,297088170.3
7.33,298576091
7.34,299072064.6
7.35,300559985.3
7.36,301799919.2
7.37,302543879.6
7.38,303039853.1
7.39,303783813.5
7.4,304279787.1
7.41,305519721
7.42,306263681.4
7.43,307503615.3
7.44,308495562.4
7.45,309487509.6
7.46,310231469.9
7.47,310727443.5
7.48,311719390.7
7.49,312463351
7.5,313703285
7.51,314943218.9
7.52,315687179.2
7.53,316183152.8
7.54,317175100
7.55,317671073.5
7.56,317671073.5
7.57,318911007.5
7.58,319406981
7.59,320646915
7.6,321638862.1
7.61,322382822.5
7.62,323126782.8
7.63,323870743.2
7.64,325358663.9
7.65,326102624.3
7.66,327342558.2
7.67,328334505.4
7.68,329326452.5
7.69,331310346.8
7.7,332550280.7
7.71,334038201.5
7.72,335526122.2
7.73,336270082.5
7.74,337014042.9
7.75,338997937.2
7.76,339493910.8
7.77,340237871.1
7.78,340981831.5
7.79,341973778.6
7.8,342221765.4
7.81,343709686.1
7.82,344701633.3
7.83,346437540.8
7.84,347677474.7
7.85,347677474.7
7.86,348421435.1
7.87,348917408.6
7.88,349661369
7.89,350901302.9
7.9,351893250.1
7.91,351893250.1
7.92,353381170.8
7.93,354373117.9
7.94,354869091.5
7.95,355365065.1
7.96,356852985.8
7.97,358092919.7
7.98,358836880.1
7.99,359580840.5
8,360076814
8.01,360820774.4
8.02,362308695.1
8.03,363052655.5
8.04,363548629
8.05,364540576.2
8.06,365780510.1
8.07,366524470.5
8.08,368012391.2
8.09,368756351.6
8.1,370244272.3
8.11,371236219.4
8.12,372724140.2
8.13,373964074.1
8.14,374708034.4
8.15,375451994.8
8.16,375947968.4
8.17,376443941.9
