depth_m,area_m2
2.255,12533754600.0
2.265,12576596400.0
2.2750000000000004,12619923300.0
2.285,12662764200.0
2.295,12705444000.0
2.305,12748301100.0
2.315,12790975500.0
2.325,12833168400.0
2.335,12875690700.0
2.3449999999999998,12917894400.0
2.355,12960021600.0
2.365,13002147000.0
2.375,13044258000.0
2.385,13086147600.0
2.395,13127901300.0
2.4050000000000002,13169862000.0
2.415,13211694900.0
2.425,13253295600.0
2.435,13295134800.0
2.4450000000000003,13336612200.0
2.455,13378042800.0
2.465,13419352800.0
2.475,13460642100.0
2.4850000000000003,13501800000.0
2.495,13542940800.0
2.505,13584092400.0
2.515,13625055000.0
2.5250000000000004,13666097700.0
2.535,13706957700.0
2.545,13747564800.0
2.555,13788413100.0
2.565,13828974300.0
2.575,13869649800.0
2.585,13910312700.0
2.5949999999999998,13950997200.0
2.605,13991667300.0
2.615,14032226700.0
2.625,14072596200.0
2.635,14112643500.0
2.645,14152797000.0
2.6550000000000002,14192747100.0
2.665,14232582000.0
2.675,14272712100.0
2.685,14312422800.0
2.6950000000000003,14352368400.0
2.705,14391698400.0
2.715,14431293900.0
2.725,14470677000.0
2.7350000000000003,14509951200.0
2.745,14549558400.0
2.755,14588748900.0
2.765,14628014100.0
2.7750000000000004,14666861700.0
2.785,14706131400.0
2.795,14744916000.0
2.805,14783760000.0
2.815,14822910000.0
2.825,14861256300.0
2.835,14899999500.0
2.8449999999999998,14938731900.0
2.855,14977324800.0
2.865,15015638700.0
2.875,15054446700.0
2.885,15092588700.0
2.895,15130320300.0
2.9050000000000002,15168626100.0
2.915,15206137200.0
2.925,15243872400.0
2.935,15281582400.0
2.9450000000000003,15319176300.0
2.955,15356558700.0
2.965,15394090500.0
2.975,15431298300.0
2.9850000000000003,15468051600.0
2.995,15505178400.0
3.005,15542189100.0
3.015,15578841600.0
3.0250000000000004,15615485100.0
3.035,15652352700.0
3.045,15688917900.0
3.055,15725367000.0
3.0650000000000004,15761990700.0
3.075,15798434400.0
3.085,15834717000.0
3.0949999999999998,15871018500.0
3.105,15907315500.0
3.115,15943375800.0
3.125,15979579200.0
3.135,16015822200.0
3.145,16051557600.0
3.1550000000000002,16087470300.0
3.165,16123437000.0
3.175,16159118400.0
3.185,16194862800.0
3.1950000000000003,16230757500.0
3.205,16266338100.0
3.215,16301754000.0
3.225,16337474100.0
3.2350000000000003,16372927800.0
3.245,16408258200.0
3.255,16443610200.0
3.265,16479099000.0
3.2750000000000004,16514174700.0
3.285,16549423200.0
3.295,16584795900.0
3.305,16619598900.0
3.3150000000000004,16654707000.0
3.325,16689504600.0
3.335,16724238300.0
3.3449999999999998,16758968400.0
3.355,16793747100.0
3.365,16828502400.0
3.375,16862905800.0
3.385,16897535100.0
3.395,16932107700.0
3.4050000000000002,16966314000.0
3.415,17000654400.0
3.425,17035099200.0
3.435,17069272200.0
3.4450000000000003,17103542400.0
3.455,17137989000.0
3.465,17171900100.0
3.475,17205975000.0
3.4850000000000003,17239886100.0
3.495,17273720700.0
3.505,17307682200.0
3.515,17341366500.0
3.5250000000000004,17375355900.0
3.535,17408923200.0
3.545,17442794700.0
3.555,17476591500.0
3.5650000000000004,17510315400.0
3.575,17544144600.0
3.585,17577686700.0
3.5949999999999998,17611537500.0
3.605,17644834800.0
